"src","dest"
"10454","6885"
"10912","4216"
"11221","1432"
"11221","5594"
"11221","5595"
"11221","5599"
"11221","5600"
"11221","5601"
"11221","5602"
"11221","5603"
"11221","6300"
"115727","22800"
"115727","22808"
"115727","3265"
"115727","3845"
"115727","4893"
"115727","6237"
"1435","1436"
"1435","1956"
"1435","1969"
"1435","2064"
"1435","2065"
"1435","2066"
"1435","2260"
"1435","2261"
"1435","2263"
"1435","2264"
"1435","2321"
"1435","2322"
"1435","2324"
"1435","3480"
"1435","3643"
"1435","3791"
"1435","3815"
"1435","4233"
"1435","4804"
"1435","4914"
"1435","4915"
"1435","5156"
"1435","5159"
"1435","5979"
"1435","7010"
"1616","4217"
"1647","4216"
"1843","5594"
"1843","5595"
"1844","1432"
"1844","5594"
"1844","5595"
"1844","5599"
"1844","5600"
"1844","5601"
"1844","5602"
"1844","5603"
"1844","6300"
"1845","1432"
"1845","5594"
"1845","5595"
"1845","5599"
"1845","5600"
"1845","5601"
"1845","5602"
"1845","5603"
"1845","6300"
"1846","1432"
"1846","5594"
"1846","5595"
"1846","5599"
"1846","5600"
"1846","5601"
"1846","5602"
"1846","5603"
"1846","6300"
"1847","1432"
"1847","5594"
"1847","5595"
"1847","5599"
"1847","5600"
"1847","5601"
"1847","5602"
"1847","5603"
"1847","6300"
"1848","5594"
"1848","5595"
"1849","1432"
"1849","5594"
"1849","5595"
"1849","5599"
"1849","5600"
"1849","5601"
"1849","5602"
"1849","5603"
"1849","6300"
"1850","1432"
"1850","5594"
"1850","5595"
"1850","5599"
"1850","5600"
"1850","5601"
"1850","5602"
"1850","5603"
"1850","6300"
"1852","1432"
"1852","5594"
"1852","5595"
"1852","5599"
"1852","5600"
"1852","5601"
"1852","5602"
"1852","5603"
"1852","6300"
"1942","1436"
"1942","1956"
"1942","1969"
"1942","2064"
"1942","2065"
"1942","2066"
"1942","2260"
"1942","2261"
"1942","2263"
"1942","2264"
"1942","2321"
"1942","2322"
"1942","2324"
"1942","3480"
"1942","3643"
"1942","3791"
"1942","3815"
"1942","4233"
"1942","4804"
"1942","4914"
"1942","4915"
"1942","5156"
"1942","5159"
"1942","5979"
"1942","7010"
"1943","1436"
"1943","1956"
"1943","1969"
"1943","2064"
"1943","2065"
"1943","2066"
"1943","2260"
"1943","2261"
"1943","2263"
"1943","2264"
"1943","2321"
"1943","2322"
"1943","2324"
"1943","3480"
"1943","3643"
"1943","3791"
"1943","3815"
"1943","4233"
"1943","4804"
"1943","4914"
"1943","4915"
"1943","5156"
"1943","5159"
"1943","5979"
"1943","7010"
"1944","1436"
"1944","1956"
"1944","1969"
"1944","2064"
"1944","2065"
"1944","2066"
"1944","2260"
"1944","2261"
"1944","2263"
"1944","2264"
"1944","2321"
"1944","2322"
"1944","2324"
"1944","3480"
"1944","3643"
"1944","3791"
"1944","3815"
"1944","4233"
"1944","4804"
"1944","4914"
"1944","4915"
"1944","5156"
"1944","5159"
"1944","5979"
"1944","7010"
"1945","1436"
"1945","1956"
"1945","1969"
"1945","2064"
"1945","2065"
"1945","2066"
"1945","2260"
"1945","2261"
"1945","2263"
"1945","2264"
"1945","2321"
"1945","2322"
"1945","2324"
"1945","3480"
"1945","3643"
"1945","3791"
"1945","3815"
"1945","4233"
"1945","4804"
"1945","4914"
"1945","4915"
"1945","5156"
"1945","5159"
"1945","5979"
"1945","7010"
"1946","1436"
"1946","1956"
"1946","1969"
"1946","2064"
"1946","2065"
"1946","2066"
"1946","2260"
"1946","2261"
"1946","2263"
"1946","2264"
"1946","2321"
"1946","2322"
"1946","2324"
"1946","3480"
"1946","3643"
"1946","3791"
"1946","3815"
"1946","4233"
"1946","4804"
"1946","4914"
"1946","4915"
"1946","5156"
"1946","5159"
"1946","5979"
"1946","7010"
"1950","1436"
"1950","1969"
"1950","2066"
"1950","2260"
"1950","2261"
"1950","2263"
"1950","2264"
"1950","2321"
"1950","2322"
"1950","2324"
"1950","3480"
"1950","3643"
"1950","3791"
"1950","3815"
"1950","4233"
"1950","4804"
"1950","4914"
"1950","4915"
"1950","5156"
"1950","5159"
"1950","5979"
"1950","7010"
"2002","2353"
"2005","2353"
"2069","1436"
"2069","1956"
"2069","1969"
"2069","2064"
"2069","2065"
"2069","2066"
"2069","2260"
"2069","2261"
"2069","2263"
"2069","2264"
"2069","2321"
"2069","2322"
"2069","2324"
"2069","3480"
"2069","3643"
"2069","3791"
"2069","3815"
"2069","4233"
"2069","4804"
"2069","4914"
"2069","4915"
"2069","5156"
"2069","5159"
"2069","5979"
"2069","7010"
"207","4217"
"207","6416"
"208","4217"
"208","6416"
"2122","5599"
"2122","5601"
"2122","5602"
"2246","1436"
"2246","1956"
"2246","1969"
"2246","2064"
"2246","2065"
"2246","2066"
"2246","2260"
"2246","2261"
"2246","2263"
"2246","2264"
"2246","2321"
"2246","2322"
"2246","2324"
"2246","3480"
"2246","3643"
"2246","3791"
"2246","3815"
"2246","4233"
"2246","4804"
"2246","4914"
"2246","4915"
"2246","5156"
"2246","5159"
"2246","5979"
"2246","7010"
"2247","1436"
"2247","1956"
"2247","1969"
"2247","2064"
"2247","2065"
"2247","2066"
"2247","2260"
"2247","2264"
"2247","2321"
"2247","2322"
"2247","2324"
"2247","3480"
"2247","3643"
"2247","3791"
"2247","3815"
"2247","4233"
"2247","4804"
"2247","4914"
"2247","4915"
"2247","5156"
"2247","5159"
"2247","5979"
"2247","7010"
"2248","1436"
"2248","1956"
"2248","1969"
"2248","2064"
"2248","2065"
"2248","2066"
"2248","2260"
"2248","2261"
"2248","2263"
"2248","2264"
"2248","2321"
"2248","2322"
"2248","2324"
"2248","3480"
"2248","3643"
"2248","3791"
"2248","3815"
"2248","4233"
"2248","4804"
"2248","4914"
"2248","4915"
"2248","5156"
"2248","5159"
"2248","5979"
"2248","7010"
"2249","1436"
"2249","1956"
"2249","1969"
"2249","2064"
"2249","2065"
"2249","2066"
"2249","2260"
"2249","2261"
"2249","2263"
"2249","2264"
"2249","2321"
"2249","2322"
"2249","2324"
"2249","3480"
"2249","3643"
"2249","3791"
"2249","3815"
"2249","4233"
"2249","4804"
"2249","4914"
"2249","4915"
"2249","5156"
"2249","5159"
"2249","5979"
"2249","7010"
"2250","1436"
"2250","1956"
"2250","1969"
"2250","2064"
"2250","2065"
"2250","2066"
"2250","2260"
"2250","2261"
"2250","2263"
"2250","2264"
"2250","2321"
"2250","2322"
"2250","2324"
"2250","3480"
"2250","3643"
"2250","3791"
"2250","3815"
"2250","4233"
"2250","4804"
"2250","4914"
"2250","4915"
"2250","5156"
"2250","5159"
"2250","5979"
"2250","7010"
"2251","1436"
"2251","1956"
"2251","1969"
"2251","2064"
"2251","2065"
"2251","2066"
"2251","2260"
"2251","2261"
"2251","2263"
"2251","2264"
"2251","2321"
"2251","2322"
"2251","2324"
"2251","3480"
"2251","3643"
"2251","3791"
"2251","3815"
"2251","4233"
"2251","4804"
"2251","4914"
"2251","4915"
"2251","5156"
"2251","5159"
"2251","5979"
"2251","7010"
"2252","1436"
"2252","1956"
"2252","1969"
"2252","2064"
"2252","2065"
"2252","2066"
"2252","2260"
"2252","2261"
"2252","2263"
"2252","2264"
"2252","2321"
"2252","2322"
"2252","2324"
"2252","3480"
"2252","3643"
"2252","3791"
"2252","3815"
"2252","4233"
"2252","4804"
"2252","4914"
"2252","4915"
"2252","5156"
"2252","5159"
"2252","5979"
"2252","7010"
"2253","1436"
"2253","1956"
"2253","1969"
"2253","2064"
"2253","2065"
"2253","2066"
"2253","2260"
"2253","2261"
"2253","2263"
"2253","2264"
"2253","2321"
"2253","2322"
"2253","2324"
"2253","3480"
"2253","3643"
"2253","3791"
"2253","3815"
"2253","4233"
"2253","4804"
"2253","4914"
"2253","4915"
"2253","5156"
"2253","5159"
"2253","5979"
"2253","7010"
"2254","1436"
"2254","1956"
"2254","1969"
"2254","2064"
"2254","2065"
"2254","2066"
"2254","2260"
"2254","2261"
"2254","2263"
"2254","2264"
"2254","2321"
"2254","2322"
"2254","2324"
"2254","3480"
"2254","3643"
"2254","3791"
"2254","3815"
"2254","4233"
"2254","4804"
"2254","4914"
"2254","4915"
"2254","5156"
"2254","5159"
"2254","5979"
"2254","7010"
"2255","1436"
"2255","1956"
"2255","1969"
"2255","2064"
"2255","2065"
"2255","2066"
"2255","2260"
"2255","2261"
"2255","2263"
"2255","2264"
"2255","2321"
"2255","2322"
"2255","2324"
"2255","3480"
"2255","3643"
"2255","3791"
"2255","3815"
"2255","4233"
"2255","4804"
"2255","4914"
"2255","4915"
"2255","5156"
"2255","5159"
"2255","5979"
"2255","7010"
"2277","1436"
"2277","1956"
"2277","1969"
"2277","2064"
"2277","2065"
"2277","2066"
"2277","2260"
"2277","2261"
"2277","2263"
"2277","2264"
"2277","2321"
"2277","2322"
"2277","2324"
"2277","3480"
"2277","3643"
"2277","3791"
"2277","3815"
"2277","4233"
"2277","4804"
"2277","4914"
"2277","4915"
"2277","5156"
"2277","5159"
"2277","5979"
"2277","7010"
"22800","369"
"22800","5894"
"22800","673"
"22808","369"
"22808","5894"
"22808","673"
"23118","6885"
"2323","1436"
"2323","1956"
"2323","1969"
"2323","2064"
"2323","2065"
"2323","2066"
"2323","2260"
"2323","2261"
"2323","2263"
"2323","2264"
"2323","2321"
"2323","2322"
"2323","2324"
"2323","3480"
"2323","3643"
"2323","3791"
"2323","3815"
"2323","4233"
"2323","4804"
"2323","4914"
"2323","4915"
"2323","5156"
"2323","5159"
"2323","5979"
"2323","7010"
"25780","22800"
"25780","22808"
"25780","3265"
"25780","3845"
"25780","4893"
"25780","6237"
"26281","1436"
"26281","1956"
"26281","1969"
"26281","2064"
"26281","2065"
"26281","2066"
"26281","2260"
"26281","2261"
"26281","2263"
"26281","2264"
"26281","2321"
"26281","2322"
"26281","2324"
"26281","3480"
"26281","3643"
"26281","3791"
"26281","3815"
"26281","4233"
"26281","4804"
"26281","4914"
"26281","4915"
"26281","5156"
"26281","5159"
"26281","5979"
"26281","7010"
"26291","1436"
"26291","1956"
"26291","1969"
"26291","2064"
"26291","2065"
"26291","2066"
"26291","2260"
"26291","2261"
"26291","2263"
"26291","2264"
"26291","2321"
"26291","2322"
"26291","2324"
"26291","3480"
"26291","3643"
"26291","3791"
"26291","3815"
"26291","4233"
"26291","4804"
"26291","4914"
"26291","4915"
"26291","5156"
"26291","5159"
"26291","5979"
"26291","7010"
"2668","1436"
"2668","1956"
"2668","1969"
"2668","2064"
"2668","2065"
"2668","2066"
"2668","2260"
"2668","2261"
"2668","2263"
"2668","2264"
"2668","2321"
"2668","2322"
"2668","2324"
"2668","3480"
"2668","3643"
"2668","3791"
"2668","3815"
"2668","4233"
"2668","4804"
"2668","4914"
"2668","4915"
"2668","5156"
"2668","5159"
"2668","5979"
"2668","7010"
"27006","1436"
"27006","1956"
"27006","1969"
"27006","2064"
"27006","2065"
"27006","2066"
"27006","2260"
"27006","2261"
"27006","2263"
"27006","2264"
"27006","2321"
"27006","2322"
"27006","2324"
"27006","3480"
"27006","3643"
"27006","3791"
"27006","3815"
"27006","4233"
"27006","4804"
"27006","4914"
"27006","4915"
"27006","5156"
"27006","5159"
"27006","5979"
"27006","7010"
"2768","5922"
"284","1436"
"284","1956"
"284","1969"
"284","2064"
"284","2065"
"284","2066"
"284","2260"
"284","2261"
"284","2263"
"284","2264"
"284","2321"
"284","2322"
"284","2324"
"284","3480"
"284","3643"
"284","3791"
"284","3815"
"284","4233"
"284","4804"
"284","4914"
"284","4915"
"284","5156"
"284","5159"
"284","5979"
"284","7010"
"285","1436"
"285","1956"
"285","1969"
"285","2064"
"285","2065"
"285","2066"
"285","2260"
"285","2261"
"285","2263"
"285","2264"
"285","2321"
"285","2322"
"285","2324"
"285","3480"
"285","3643"
"285","3791"
"285","3815"
"285","4233"
"285","4804"
"285","4914"
"285","4915"
"285","5156"
"285","5159"
"285","5979"
"285","7010"
"3082","1436"
"3082","1956"
"3082","1969"
"3082","2064"
"3082","2066"
"3082","2260"
"3082","2261"
"3082","2263"
"3082","2264"
"3082","2321"
"3082","2322"
"3082","2324"
"3082","3480"
"3082","3643"
"3082","3791"
"3082","3815"
"3082","4804"
"3082","4914"
"3082","4915"
"3082","5156"
"3082","5159"
"3082","5979"
"3082","7010"
"3303","5599"
"3303","5601"
"3303","5602"
"3304","5599"
"3304","5601"
"3304","5602"
"3305","5599"
"3305","5601"
"3305","5602"
"3310","5599"
"3310","5601"
"3310","5602"
"3312","5599"
"3312","5601"
"3312","5602"
"3479","1436"
"3479","1956"
"3479","1969"
"3479","2064"
"3479","2065"
"3479","2066"
"3479","2260"
"3479","2261"
"3479","2263"
"3479","2264"
"3479","2321"
"3479","2322"
"3479","2324"
"3479","3643"
"3479","3791"
"3479","3815"
"3479","4233"
"3479","4804"
"3479","4914"
"3479","4915"
"3479","5156"
"3479","5159"
"3479","5979"
"3479","7010"
"3481","1436"
"3481","1956"
"3481","1969"
"3481","2064"
"3481","2065"
"3481","2066"
"3481","2260"
"3481","2261"
"3481","2263"
"3481","2264"
"3481","2321"
"3481","2322"
"3481","2324"
"3481","3480"
"3481","3643"
"3481","3791"
"3481","3815"
"3481","4233"
"3481","4804"
"3481","4914"
"3481","4915"
"3481","5156"
"3481","5159"
"3481","5979"
"3481","7010"
"355","1616"
"3552","3554"
"3552","3556"
"3553","3554"
"3553","3556"
"3554","4615"
"3556","4615"
"3630","1436"
"3630","1956"
"3630","1969"
"3630","2064"
"3630","2065"
"3630","2066"
"3630","2260"
"3630","2261"
"3630","2263"
"3630","2264"
"3630","2321"
"3630","2322"
"3630","2324"
"3630","3480"
"3630","3643"
"3630","3791"
"3630","3815"
"3630","4233"
"3630","4804"
"3630","4914"
"3630","4915"
"3630","5156"
"3630","5159"
"3630","5979"
"3630","7010"
"3654","7189"
"374","1436"
"374","1956"
"374","1969"
"374","2064"
"374","2065"
"374","2066"
"374","2260"
"374","2261"
"374","2263"
"374","2264"
"374","2321"
"374","2322"
"374","2324"
"374","3480"
"374","3643"
"374","3791"
"374","3815"
"374","4233"
"374","4804"
"374","4914"
"374","4915"
"374","5156"
"374","5159"
"374","5979"
"374","7010"
"4216","5606"
"4216","5608"
"4254","1436"
"4254","1956"
"4254","1969"
"4254","2064"
"4254","2065"
"4254","2066"
"4254","2260"
"4254","2261"
"4254","2263"
"4254","2264"
"4254","2321"
"4254","2322"
"4254","2324"
"4254","3480"
"4254","3643"
"4254","3791"
"4254","3815"
"4254","4233"
"4254","4804"
"4254","4914"
"4254","4915"
"4254","5156"
"4254","5159"
"4254","5979"
"4254","7010"
"4615","3654"
"4615","51135"
"4616","4216"
"4763","22800"
"4763","22808"
"4763","6237"
