"src","dest"
"PRKACG","RAF1"
"PRKACG","RPS6KB1"
"PRKACG","RPS6KB2"
"PRKACG","SP1"
"PRKACG","BRAF"
"PRKACG","NCOA3"
"MAPK1","FOS"
"MAPK1","JUN"
"MAPK3","FOS"
"MAPK3","JUN"
"MAPK8","CARM1"
"MAPK8","ESR1"
"MAPK8","ESR2"
"MAPK8","FOS"
"MAPK8","JUN"
"MAPK8","MED1"
"MAPK8","SP1"
"MAPK8","NCOA3"
"MAPK11","CARM1"
"MAPK11","ESR1"
"MAPK11","ESR2"
"MAPK11","FOS"
"MAPK11","JUN"
"MAPK11","MED1"
"MAPK11","SP1"
"MAPK11","NCOA3"
"MAPK9","CARM1"
"MAPK9","ESR1"
"MAPK9","ESR2"
"MAPK9","FOS"
"MAPK9","JUN"
"MAPK9","MED1"
"MAPK9","SP1"
"MAPK9","NCOA3"
"MAPK10","CARM1"
"MAPK10","ESR1"
"MAPK10","ESR2"
"MAPK10","FOS"
"MAPK10","JUN"
"MAPK10","MED1"
"MAPK10","SP1"
"MAPK10","NCOA3"
"MAPK13","CARM1"
"MAPK13","ESR1"
"MAPK13","ESR2"
"MAPK13","FOS"
"MAPK13","JUN"
"MAPK13","MED1"
"MAPK13","SP1"
"MAPK13","NCOA3"
"PTK2","PIK3CA"
"PTK2","PIK3CB"
"PTK2","PIK3CD"
"PTK2","PIK3R1"
"PTK2","PIK3R2"
"PTK2","PIK3R3"
"RB1","E2F1"
"RB1","E2F2"
"RB1","E2F3"
"CCND1","CDK4"
"BCL2","BAD"
"BCL2","BIK"
"RPS6KB1","CARM1"
"RPS6KB1","ESR1"
"RPS6KB1","ESR2"
"RPS6KB1","FOS"
"RPS6KB1","JUN"
"RPS6KB1","MED1"
"RPS6KB1","SP1"
"RPS6KB1","NCOA3"
"RPS6KB2","CARM1"
"RPS6KB2","ESR1"
"RPS6KB2","ESR2"
"RPS6KB2","FOS"
"RPS6KB2","JUN"
"RPS6KB2","MED1"
"RPS6KB2","SP1"
"RPS6KB2","NCOA3"
"MAPK12","CARM1"
"MAPK12","ESR1"
"MAPK12","ESR2"
"MAPK12","FOS"
"MAPK12","JUN"
"MAPK12","MED1"
"MAPK12","SP1"
"MAPK12","NCOA3"
"SRC","CARM1"
"SRC","ESR1"
"SRC","ESR2"
"SRC","FOS"
"SRC","JUN"
"SRC","MMP2"
"SRC","MMP9"
"SRC","MED1"
"SRC","SP1"
"SRC","NCOA3"
"TP53","CDKN1A"
"TP53","CDKN1B"
"TP53","CDKN2A"
"TP53","CDKN2C"
"PIK3R3","AKT3"
"PIK3R3","AKT1"
"PIK3R3","AKT2"
"CHUK","NFKB1"
"CHUK","RELA"
"IKBKB","NFKB1"
"IKBKB","RELA"
"NFKB1","IL1B"
"NFKB1","IL6"
"NFKB1","TNF"
"RELA","IL1B"
"RELA","IL6"
"RELA","TNF"
"IKBKG","NFKB1"
"IKBKG","RELA"
"AKT3","CDKN1A"
"AKT3","BIRC2"
"AKT3","BIRC3"
"AKT3","XIAP"
"AKT3","BIRC5"
"AKT3","CASP9"
"CDKN1A","MAP3K5"
"CDKN1A","CASP3"
"CDKN2A","MDM2"
"ERBB2","MAPK1"
"ERBB2","MAPK3"
"AKT1","CDKN1A"
"AKT1","BIRC2"
"AKT1","BIRC3"
"AKT1","XIAP"
"AKT1","BIRC5"
"AKT1","CASP9"
"AKT2","CDKN1A"
"AKT2","BIRC2"
"AKT2","BIRC3"
"AKT2","XIAP"
"AKT2","BIRC5"
"AKT2","CASP9"
"BBC3","BCL2"
"BBC3","BCL2L1"
"APAF1","CASP9"
"BIRC2","CASP3"
"BIRC2","CASP9"
"BIRC3","CASP3"
"BIRC3","CASP9"
"XIAP","CASP3"
"XIAP","CASP9"
"BIRC5","CASP3"
"BIRC5","CASP9"
"FAS","FADD"
"FASLG","FAS"
"ATM","TP53"
"PDPK1","AKT3"
"PDPK1","AKT1"
"PDPK1","AKT2"
"PIK3CA","PDPK1"
"PIK3CB","PDPK1"
"PIK3CD","PDPK1"
"PIK3R1","PDPK1"
"PIK3R2","PDPK1"
"PMAIP1","BCL2"
"PMAIP1","BCL2L1"
"CYCS","CASP9"
"MAPK1","BAD"
"MAPK3","BAD"
"BAD","BCL2"
"BAD","BCL2L1"
"BCL2","BAK1"
"BCL2L1","BAK1"
"TP53","BBC3"
"TP53","FAS"
"TP53","PMAIP1"
"TP53","BAK1"
"TP53","BAX"
"CASP8","ATM"
"CASP8","BID"
"CASP8","TP53"
"CASP8","CASP3"
"CASP9","CASP3"
"PIK3R3","PDPK1"
"FADD","CASP8"
"SMG1","UPF1"
"PABPC4L","PAN3"
"PABPC4L","CNOT7"
"PABPC4L","CNOT8"
"PABPC5","PAN3"
"PABPC5","CNOT7"
"PABPC5","CNOT8"
"PABPC1","PAN3"
"PABPC1","CNOT7"
"PABPC1","CNOT8"
"PABPC1L2A","PAN3"
"PABPC1L2A","CNOT7"
"PABPC1L2A","CNOT8"
"PABPC3","PAN3"
"PABPC3","CNOT7"
"PABPC3","CNOT8"
"PABPC1L2B","PAN3"
"PABPC1L2B","CNOT7"
"PABPC1L2B","CNOT8"
"PABPC1L","PAN3"
"PABPC1L","CNOT7"
"PABPC1L","CNOT8"
"PABPC4","PAN3"
"PABPC4","CNOT7"
"PABPC4","CNOT8"
"PPARA","NR1H3"
"PPARA","ME3"
"PPARA","SLC27A4"
"PPARA","APOA5"
"PPARA","CPT1C"
"PPARA","CPT1A"
"PPARA","CPT1B"
"PPARA","CPT2"
"PPARA","CYP7A1"
"PPARA","CYP8B1"
"PPARA","DBI"
"PPARA","EHHADH"
"PPARA","FABP1"
"PPARA","ACSL1"
"PPARA","ACSL3"
"PPARA","ACSL4"
"PPARA","ACSBG1"
"PPARA","ACSL6"
"PPARA","ACAA1"
"PPARA","HMGCS1"
"PPARA","HMGCS2"
"PPARA","APOA1"
"PPARA","APOA2"
"PPARA","ACADM"
"PPARA","APOC3"
"PPARA","SLC27A1"
"PPARA","LPL"
"PPARA","ME1"
"PPARA","ACOX1"
"PPARA","ANGPTL4"
"PPARA","ACSL5"
"PPARA","PLTP"
"PPARA","SCD"
"PPARA","SCP2"
"PPARA","UCP1"
"PPARA","SCD5"
"PPARA","ACSBG2"
"PPARA","ACOX2"
"PPARA","ACOX3"
"PPARA","FADS2"
"PPARD","CPT1C"
"PPARD","CPT1A"
"PPARD","CPT1B"
"PPARD","FABP3"
"PPARD","ACADL"
"PPARD","ILK"
"PPARD","LPL"
"PPARD","ACOX1"
"PPARD","ANGPTL4"
"PPARD","PDPK1"
"PPARD","UBC"
"PPARD","UCP1"
"PPARD","ACOX2"
"PPARD","ACOX3"
"PPARG","AQP7B"
"PPARG","NR1H3"
"PPARG","SORBS1"
"PPARG","SLC27A4"
"PPARG","PLIN2"
"PPARG","CPT1C"
"PPARG","CPT1A"
"PPARG","CPT1B"
"PPARG","CYP27A1"
"PPARG","FABP4"
"PPARG","ACSL1"
"PPARG","ACSL3"
"PPARG","ACSL4"
"PPARG","ACSBG1"
"PPARG","ACSL6"
"PPARG","GK"
"PPARG","GK2"
"PPARG","AQP7"
"PPARG","SLC27A1"
"PPARG","LPL"
"PPARG","MMP1"
"PPARG","PLIN5"
"PPARG","OLR1"
"PPARG","PCK1"
"PPARG","PCK2"
"PPARG","ANGPTL4"
"PPARG","ACSL5"
"PPARG","PLIN1"
"PPARG","SCD"
"PPARG","PLIN4"
"PPARG","UCP1"
"PPARG","SCD5"
"PPARG","ACSBG2"
"PPARG","ADIPOQ"
"PPARG","CD36"
"RXRA","AQP7B"
"RXRA","NR1H3"
"RXRA","SORBS1"
"RXRA","ME3"
"RXRA","SLC27A4"
"RXRA","APOA5"
"RXRA","PLIN2"
"RXRA","CPT1C"
"RXRA","CPT1A"
"RXRA","CPT1B"
"RXRA","CPT2"
"RXRA","CYP7A1"
"RXRA","CYP8B1"
"RXRA","CYP27A1"
"RXRA","DBI"
"RXRA","EHHADH"
"RXRA","FABP4"
"RXRA","FABP1"
"RXRA","FABP3"
"RXRA","ACSL1"
"RXRA","ACSL3"
"RXRA","ACSL4"
"RXRA","ACSBG1"
"RXRA","ACSL6"
"RXRA","GK"
"RXRA","GK2"
"RXRA","ACAA1"
"RXRA","HMGCS1"
"RXRA","HMGCS2"
"RXRA","ACADL"
"RXRA","APOA1"
"RXRA","APOA2"
"RXRA","ACADM"
"RXRA","APOC3"
"RXRA","ILK"
"RXRA","AQP7"
"RXRA","SLC27A1"
"RXRA","LPL"
"RXRA","ME1"
"RXRA","MMP1"
"RXRA","PLIN5"
"RXRA","OLR1"
"RXRA","ACOX1"
"RXRA","PCK1"
"RXRA","PCK2"
"RXRA","ANGPTL4"
"RXRA","PDPK1"
"RXRA","ACSL5"
"RXRA","PLIN1"
"RXRA","PLTP"
"RXRA","SCD"
"RXRA","SCP2"
"RXRA","PLIN4"
"RXRA","UBC"
"RXRA","UCP1"
"RXRA","SCD5"
"RXRA","ACSBG2"
"RXRA","ACOX2"
"RXRA","ACOX3"
"RXRA","ADIPOQ"
"RXRA","FADS2"
"RXRA","CD36"
"RXRB","AQP7B"
"RXRB","NR1H3"
"RXRB","SORBS1"
"RXRB","ME3"
"RXRB","SLC27A4"
"RXRB","APOA5"
"RXRB","PLIN2"
"RXRB","CPT1C"
"RXRB","CPT1A"
"RXRB","CPT1B"
"RXRB","CPT2"
"RXRB","CYP7A1"
"RXRB","CYP8B1"
"RXRB","CYP27A1"
"RXRB","DBI"
"RXRB","EHHADH"
"RXRB","FABP4"
"RXRB","FABP1"
"RXRB","FABP3"
"RXRB","ACSL1"
"RXRB","ACSL3"
"RXRB","ACSL4"
"RXRB","ACSBG1"
"RXRB","ACSL6"
"RXRB","GK"
"RXRB","GK2"
"RXRB","ACAA1"
"RXRB","HMGCS1"
"RXRB","HMGCS2"
"RXRB","ACADL"
"RXRB","APOA1"
"RXRB","APOA2"
"RXRB","ACADM"
"RXRB","APOC3"
"RXRB","ILK"
"RXRB","AQP7"
"RXRB","SLC27A1"
"RXRB","LPL"
"RXRB","ME1"
"RXRB","MMP1"
"RXRB","PLIN5"
"RXRB","OLR1"
"RXRB","ACOX1"
"RXRB","PCK1"
"RXRB","PCK2"
"RXRB","ANGPTL4"
"RXRB","PDPK1"
"RXRB","ACSL5"
"RXRB","PLIN1"
"RXRB","PLTP"
"RXRB","SCD"
"RXRB","SCP2"
"RXRB","PLIN4"
"RXRB","UBC"
"RXRB","UCP1"
"RXRB","SCD5"
"RXRB","ACSBG2"
"RXRB","ACOX2"
"RXRB","ACOX3"
"RXRB","ADIPOQ"
"RXRB","FADS2"
"RXRB","CD36"
"RXRG","AQP7B"
"RXRG","NR1H3"
"RXRG","SORBS1"
"RXRG","ME3"
"RXRG","SLC27A4"
"RXRG","APOA5"
"RXRG","PLIN2"
"RXRG","CPT1C"
"RXRG","CPT1A"
"RXRG","CPT1B"
"RXRG","CPT2"
"RXRG","CYP7A1"
"RXRG","CYP8B1"
"RXRG","CYP27A1"
"RXRG","DBI"
"RXRG","EHHADH"
"RXRG","FABP4"
"RXRG","FABP1"
"RXRG","FABP3"
"RXRG","ACSL1"
"RXRG","ACSL3"
"RXRG","ACSL4"
"RXRG","ACSBG1"
"RXRG","ACSL6"
"RXRG","GK"
"RXRG","GK2"
"RXRG","ACAA1"
"RXRG","HMGCS1"
"RXRG","HMGCS2"
"RXRG","ACADL"
"RXRG","APOA1"
"RXRG","APOA2"
"RXRG","ACADM"
"RXRG","APOC3"
"RXRG","ILK"
"RXRG","AQP7"
"RXRG","SLC27A1"
"RXRG","LPL"
"RXRG","ME1"
"RXRG","MMP1"
"RXRG","PLIN5"
"RXRG","OLR1"
"RXRG","ACOX1"
"RXRG","PCK1"
"RXRG","PCK2"
"RXRG","ANGPTL4"
"RXRG","PDPK1"
"RXRG","ACSL5"
"RXRG","PLIN1"
"RXRG","PLTP"
"RXRG","SCD"
"RXRG","SCP2"
"RXRG","PLIN4"
"RXRG","UBC"
"RXRG","UCP1"
"RXRG","SCD5"
"RXRG","ACSBG2"
"RXRG","ACOX2"
"RXRG","ACOX3"
"RXRG","ADIPOQ"
"RXRG","FADS2"
"RXRG","CD36"
"SYCP3","BRCA2"
"FANCD2","FAN1"
"FANCD2","BRCA2"
"FAN1","MLH1"
"FAN1","PMS2"
"WDR48","FANCL"
"BRCA2","RAD51"
"BRCA2","RAD51C"
"USP1","FANCL"
"PALB2","RAD51C"
"BRIP1","MLH1"
"BRIP1","PMS2"
"TELO2","ATR"
"AKT3","MAP3K5"
"AKT3","MAP2K4"
"RASGRP1","RRAS2"
"RASGRP1","MRAS"
"RASGRP1","HRAS"
"RASGRP1","KRAS"
"RASGRP1","NRAS"
"RASGRP1","RRAS"
"RASGRP2","RRAS2"
"RASGRP2","MRAS"
"RASGRP2","HRAS"
"RASGRP2","KRAS"
"RASGRP2","NRAS"
"RASGRP2","RRAS"
"TAB1","MAP3K7"
"GADD45G","MAP3K4"
"DUSP10","MAPK14"
"DUSP10","MAPK1"
