"5159"	"6714"	"0"
"5578"	"369"	"0"
"5578"	"5894"	"0"
"5578"	"673"	"0"
"5579"	"369"	"0"
"5579"	"5894"	"0"
"5579"	"673"	"0"
"558"	"2549"	"0"
"558"	"25759"	"0"
"558"	"3716"	"0"
"558"	"3717"	"0"
"558"	"399694"	"0"
"558"	"5335"	"0"
"558"	"53358"	"0"
"558"	"5336"	"0"
"558"	"6464"	"0"
"558"	"6714"	"0"
"5582"	"369"	"0"
"5582"	"5894"	"0"
"5582"	"673"	"0"
"56034"	"5156"	"0"
"56034"	"5159"	"0"
"5604"	"5594"	"0"
"5604"	"5595"	"0"
"5605"	"5594"	"0"
"5605"	"5595"	"0"
"5894"	"5604"	"0"
"5894"	"5605"	"0"
"6198"	"6194"	"0"
"6199"	"6194"	"0"
"6654"	"3265"	"0"
"6654"	"3845"	"0"
"6654"	"4893"	"0"
"6655"	"3265"	"0"
"6655"	"3845"	"0"
"6655"	"4893"	"0"
"6714"	"6774"	"0"
"673"	"5604"	"0"
"673"	"5605"	"0"
"7039"	"1956"	"0"
"7039"	"2064"	"0"
"7039"	"2065"	"0"
"80310"	"5156"	"0"
"80310"	"5159"	"0"
"9542"	"1956"	"0"
"9542"	"2064"	"0"
"9542"	"2065"	"0"
"10683"	"4851"	"0"
"10683"	"4853"	"0"
"10683"	"4854"	"0"
"10683"	"4855"	"0"
"1432"	"10498"	"0"
"1432"	"2099"	"0"
"1432"	"2100"	"0"
"1432"	"2353"	"0"
"1432"	"3725"	"0"
"1432"	"5469"	"0"
"1432"	"6667"	"0"
"1432"	"8202"	"0"
"1839"	"1956"	"0"
"1956"	"5290"	"0"
"1956"	"5291"	"0"
"1956"	"5293"	"0"
"1956"	"5295"	"0"
"1956"	"5296"	"0"
"1956"	"8503"	"0"
"2064"	"5290"	"0"
"2064"	"5291"	"0"
"2064"	"5293"	"0"
"2064"	"5295"	"0"
"2064"	"5296"	"0"
"2064"	"8503"	"0"
"2778"	"107"	"0"
"2778"	"108"	"0"
"2778"	"109"	"0"
"2778"	"111"	"0"
"2778"	"112"	"0"
"2778"	"113"	"0"
"2778"	"114"	"0"
"2778"	"115"	"0"
"2778"	"196883"	"0"
"2778"	"6714"	"0"
"28514"	"4851"	"0"
"28514"	"4853"	"0"
"28514"	"4854"	"0"
"28514"	"4855"	"0"
"2852"	"2778"	"0"
"3480"	"5290"	"0"
"3480"	"5291"	"0"
"3480"	"5293"	"0"
"3480"	"5295"	"0"
"3480"	"5296"	"0"
"3480"	"8503"	"0"
"4313"	"1839"	"0"
"4318"	"1839"	"0"
"5290"	"10000"	"0"
"5290"	"207"	"0"
"5290"	"208"	"0"
"5291"	"10000"	"0"
"5291"	"207"	"0"
"5291"	"208"	"0"
"5293"	"10000"	"0"
"5293"	"207"	"0"
"5293"	"208"	"0"
"5295"	"10000"	"0"
"5295"	"207"	"0"
"5295"	"208"	"0"
"5296"	"10000"	"0"
"5296"	"207"	"0"
"5296"	"208"	"0"
"54567"	"4851"	"0"
"54567"	"4853"	"0"
"54567"	"4854"	"0"
"54567"	"4855"	"0"
"5566"	"10498"	"0"
"5566"	"2099"	"0"
"5566"	"2100"	"0"
"5566"	"2353"	"0"
"5566"	"3725"	"0"
"5566"	"5469"	"0"
"5566"	"6198"	"0"
"5566"	"6199"	"0"
"5566"	"6667"	"0"
"5566"	"8202"	"0"
"5567"	"10498"	"0"
"5567"	"2099"	"0"
"5567"	"2100"	"0"
"5567"	"2353"	"0"
"5567"	"3725"	"0"
"5567"	"5469"	"0"
"5567"	"6198"	"0"
"5567"	"6199"	"0"
"5567"	"6667"	"0"
"5567"	"8202"	"0"
"5568"	"10498"	"0"
"5568"	"2099"	"0"
"5568"	"2100"	"0"
"5568"	"2353"	"0"
"5568"	"3725"	"0"
"5568"	"5469"	"0"
"5568"	"6198"	"0"
"5568"	"6199"	"0"
"5568"	"6667"	"0"
"5568"	"8202"	"0"
"5594"	"2353"	"0"
"5594"	"3725"	"0"
"5595"	"2353"	"0"
"5595"	"3725"	"0"
"5599"	"10498"	"0"
"5599"	"2099"	"0"
"5599"	"2100"	"0"
"5599"	"2353"	"0"
"5599"	"3725"	"0"
"5599"	"5469"	"0"
"5599"	"6667"	"0"
"5599"	"8202"	"0"
"5600"	"10498"	"0"
"5600"	"2099"	"0"
"5600"	"2100"	"0"
"5600"	"2353"	"0"
"5600"	"3725"	"0"
"5600"	"5469"	"0"
"5600"	"6667"	"0"
"5600"	"8202"	"0"
