"src","dest"
"VAV3","RAC2"
"VAV3","CDC42"
"VAV3","CDC42"
"VAV3","RHOA"
"VAV3","RHOA"
"VAV3","RHOG"
"VAV3","RHOG"
"MAFF","HBD"
"MAFF","HBE1"
"MAFF","HBB"
"MAFF","HBG1"
"MAFF","HBG2"
"AKT2","PDE3B"
"JAK2","MAPK3"
"JAK2","MAP2K1"
"IL6","MAPK3"
"IL6","MAP2K1"
"CDK1","MAP2K1"
"IL6R","MAPK3"
"IL6R","MAP2K1"
"JAK1","MAPK3"
"JAK1","MAP2K1"
"TYK2","MAPK3"
"TYK2","MAP2K1"
"IL6ST","MAPK3"
"IL6ST","MAP2K1"
"MAP2K1","MAPK3"
"PTPN11","MAPK3"
"PTPN11","MAP2K1"
"UBE2L6","UBA7"
"UBB","ISG15"
"UBB","PCNA"
"UBB","RPA2"
"UBB","RPA1"
"UBB","POLD1"
"UBB","RPA3"
"UBB","RFC4"
"UBB","RFC2"
"UBB","RFC1"
"UBB","RFC5"
"UBB","RFC3"
"UBB","UBA7"
"UBB","POLD2"
"UBB","POLE2"
"UBB","POLE"
"UBB","POLD3"
"UBB","POLD4"
"UBB","POLE4"
"UBB","POLE3"
"UBC","ISG15"
"UBC","PCNA"
"UBC","RPA2"
"UBC","RPA1"
"UBC","POLD1"
"UBC","RPA3"
"UBC","RFC4"
"UBC","RFC2"
"UBC","RFC1"
"UBC","RFC5"
"UBC","RFC3"
"UBC","UBA7"
"UBC","POLD2"
"UBC","POLE2"
"UBC","POLE"
"UBC","POLD3"
"UBC","POLD4"
"UBC","POLE4"
"UBC","POLE3"
"PCNA","ISG15"
"PCNA","UBA7"
"RPA2","ISG15"
"RPA2","UBA7"
"RPA1","ISG15"
"RPA1","UBA7"
"RPA3","ISG15"
"RPA3","UBA7"
"RFC4","ISG15"
"RFC4","UBA7"
"RFC2","ISG15"
"RFC2","UBA7"
"RFC1","ISG15"
"RFC1","UBA7"
"RFC5","ISG15"
"RFC5","UBA7"
"RFC3","ISG15"
"RFC3","UBA7"
"RPS27A","ISG15"
"RPS27A","PCNA"
"RPS27A","RPA2"
"RPS27A","RPA1"
"RPS27A","POLD1"
"RPS27A","RPA3"
"RPS27A","RFC4"
"RPS27A","RFC2"
"RPS27A","RFC1"
"RPS27A","RFC5"
"RPS27A","RFC3"
"RPS27A","UBA7"
"RPS27A","POLD2"
"RPS27A","POLE2"
"RPS27A","POLE"
"RPS27A","POLD3"
"RPS27A","POLD4"
"RPS27A","POLE4"
"RPS27A","POLE3"
"UBA52","ISG15"
"UBA52","PCNA"
"UBA52","RPA2"
"UBA52","RPA1"
"UBA52","POLD1"
"UBA52","RPA3"
"UBA52","RFC4"
"UBA52","RFC2"
"UBA52","RFC1"
"UBA52","RFC5"
"UBA52","RFC3"
"UBA52","UBA7"
"UBA52","POLD2"
"UBA52","POLE2"
"UBA52","POLE"
"UBA52","POLD3"
"UBA52","POLD4"
"UBA52","POLE4"
"UBA52","POLE3"
"TRIM25","UBA7"
"PCLAF","PCNA"
"PCLAF","RPA2"
"PCLAF","RPA1"
"PCLAF","POLD1"
"PCLAF","RPA3"
"PCLAF","RFC4"
"PCLAF","RFC2"
"PCLAF","RFC1"
"PCLAF","RFC5"
"PCLAF","RFC3"
"PCLAF","POLD2"
"PCLAF","POLE2"
"PCLAF","POLE"
"PCLAF","POLD3"
"PCLAF","POLD4"
"PCLAF","POLE4"
"PCLAF","POLE3"
"RCHY1","PCNA"
"RCHY1","RPA2"
"RCHY1","RPA1"
"RCHY1","RPA3"
"RCHY1","RFC4"
"RCHY1","RFC2"
"RCHY1","RFC1"
"RCHY1","RFC5"
"RCHY1","RFC3"
"RCHY1","POLH"
"POLK","ISG15"
"POLK","UBA7"
"REV1","ISG15"
"REV1","UBA7"
"POLI","ISG15"
"POLI","UBA7"
"POLH","ISG15"
"POLH","UBB"
"POLH","UBC"
"POLH","UBA7"
"POLH","RPS27A"
"POLH","UBA52"
"RPA2","UBB"
"RPA2","UBC"
"RPA2","RPS27A"
"RPA2","UBA52"
"RPA1","UBB"
"RPA1","UBC"
"RPA1","RPS27A"
"RPA1","UBA52"
"POLD1","UBB"
"POLD1","UBC"
"POLD1","RPS27A"
"POLD1","UBA52"
"RPA3","UBB"
"RPA3","UBC"
"RPA3","RPS27A"
"RPA3","UBA52"
"RFC4","UBB"
"RFC4","UBC"
"RFC4","RPS27A"
"RFC4","UBA52"
"RFC2","UBB"
"RFC2","UBC"
"RFC2","RPS27A"
"RFC2","UBA52"
"RFC1","UBB"
"RFC1","UBC"
"RFC1","RPS27A"
"RFC1","UBA52"
"RFC5","UBB"
"RFC5","UBC"
"RFC5","RPS27A"
"RFC5","UBA52"
"RFC3","UBB"
"RFC3","UBC"
"RFC3","RPS27A"
"RFC3","UBA52"
"POLD2","UBB"
"POLD2","UBC"
"POLD2","RPS27A"
"POLD2","UBA52"
"POLE2","UBB"
"POLE2","UBC"
"POLE2","RPS27A"
"POLE2","UBA52"
"POLE","UBB"
"POLE","UBC"
"POLE","RPS27A"
"POLE","UBA52"
"CUL4A","UBB"
"CUL4A","UBC"
"CUL4A","RPS27A"
"CUL4A","UBA52"
"CUL4B","UBB"
"CUL4B","UBC"
"CUL4B","RPS27A"
"CUL4B","UBA52"
"POLD3","UBB"
"POLD3","UBC"
"POLD3","RPS27A"
"POLD3","UBA52"
"DDB1","UBB"
"DDB1","UBC"
"DDB1","RPS27A"
"DDB1","UBA52"
"POLD4","UBB"
"POLD4","UBC"
"POLD4","RPS27A"
"POLD4","UBA52"
"POLE4","UBB"
"POLE4","UBC"
"POLE4","RPS27A"
"POLE4","UBA52"
"POLE3","UBB"
"POLE3","UBC"
"POLE3","RPS27A"
"POLE3","UBA52"
"DTL","UBB"
"DTL","UBC"
"DTL","RPS27A"
"DTL","UBA52"
"BPHL","POLB"
"PARG","POLB"
"BPHL","PARP1"
"PARG","PARP1"
"BPHL","APEX1"
"PARG","APEX1"
"BPHL","FEN1"
"PARG","FEN1"
"BPHL","PARP2"
"PARG","PARP2"
"ADCY6","GNAL"
"ADCY3","GNAL"
"ADCY9","GNAL"
"ADCY5","GNAL"
"GNA14","GNGT2"
"GNA14","GNB5"
"GNA14","GNG7"
"GNA14","POMC"
"GNA14","PDYN"
"GNA14","GNB3"
"GNA14","OPRM1"
"GNA14","GNG4"
"GNA14","GNG10"
"GNA14","GNG2"
"GNA14","GNG11"
"GNA14","GNB1"
"GNA14","GNB2"
"GNA14","GNGT1"
"GNA14","GNG3"
"GNA14","GNG5"
"GNA14","GNB4"
"GNA14","GNG13"
"GNA14","GNG12"
"GNA14","GNG8"
"POMC","GNGT2"
"POMC","GNB5"
"POMC","GNG7"
"POMC","GNA14"
"POMC","GNB3"
"POMC","GNA11"
"POMC","GNA15"
"POMC","GNAQ"
"POMC","GNG4"
"POMC","GNG10"
"POMC","GNG2"
"POMC","GNG11"
"POMC","GNB1"
"POMC","GNB2"
"POMC","GNGT1"
"POMC","GNG3"
"POMC","GNG5"
"POMC","GNB4"
"POMC","GNG13"
"POMC","GNG12"
"POMC","GNG8"
"PDYN","GNGT2"
"PDYN","GNB5"
